"Year","Trading_Days","Avg_Close","Max_Close","Min_Close","Avg_Volume","Avg_Daily_Return","Avg_Volatility","YTD_Return_Pct"
1970,254,83.15,93.46,69.29,11601299,0.0068,0.8765,-0.91
1971,253,98.32,104.77,90.16,15394229,0.0105,0.5619,12
1972,251,109.13,119.12,101.67,16483546,0.0592,0.4844,16.11
1973,252,107.44,120.24,92.16,16102302,-0.0661,0.861,-18.09
1974,253,82.78,99.8,62.28,13903557,-0.1213,1.2339,-29.81
1975,253,86.18,95.61,70.04,18566126,0.1099,0.9359,28.42
1976,253,102.04,107.83,90.9,21182253,0.0741,0.6856,18.22
1977,252,98.18,107,90.71,20943254,-0.046,0.5556,-11.12
1978,252,96.11,106.99,86.9,28571746,0.0028,0.7023,2.44
1979,253,103,111.27,96.13,32264269,0.0542,0.6616,11.59
1980,253,118.71,140.52,98.22,44864150,0.0955,0.9547,28.37
1981,253,128.04,138.12,112.77,46857075,-0.0253,0.8272,-10.11
1982,253,119.71,143.02,102.42,65044980,0.0565,0.9911,14.58
1983,253,160.47,172.65,138.34,85309605,0.0696,0.8466,19.22
1984,253,160.46,170.41,147.82,91223834,0.0026,0.7758,1.95
1985,252,186.83,212.02,163.68,109166905,0.0988,0.6331,27.76
1986,253,236.39,254,203.49,141025652,0.0698,0.9013,15.54
1987,253,287,336.77,223.92,188926719,0.0286,1.5168,0.26
1988,253,265.88,283.66,242.63,161454625,0.0481,1.0832,8.51
1989,252,323.05,359.8,275.31,165458690,0.0978,0.7894,28.36
1990,253,334.63,368.95,295.46,156848735,-0.0238,0.9702,-8.19
1991,253,376.19,417.09,311.49,179204150,0.098,0.8676,27.77
1992,254,415.75,441.28,394.5,202025984,0.019,0.6361,4.42
1993,253,451.61,470.94,429.05,264712213,0.0291,0.5393,7.14
1994,252,460.42,482,438.92,291461667,-0.0055,0.6019,-1.33
1995,252,541.72,621.69,459.11,346203770,0.1178,0.4757,34.16
1996,254,670.49,757.03,598.48,411420118,0.0755,0.7103,19.33
1997,253,873.43,983.79,737.01,525648142,0.1133,1.0955,31.67
1998,252,1085.5,1241.81,927.69,672261706,0.1019,1.1662,26.07
1999,252,1327.33,1469.25,1212.19,808341984,0.0773,1.1608,19.64
2000,252,1427.22,1527.46,1264.74,1034489127,-0.0333,1.3245,-9.27
2001,248,1194.18,1373.73,965.8,1232067661,-0.0479,1.3459,-10.53
2002,252,993.93,1172.51,776.76,1429026389,-0.0868,1.5444,-23.8
2003,252,965.23,1111.92,800.73,1384450992,0.0986,1.068,22.32
2004,252,1130.65,1213.55,1063.23,1423203770,0.0364,0.699,9.33
2005,252,1207.23,1272.74,1137.5,1919903651,0.0137,0.6424,3.84
2006,251,1310.46,1427.09,1223.69,2394512988,0.0544,0.6153,11.78
2007,251,1477.18,1565.15,1374.12,3227437649,0.0205,0.8987,3.65
2008,253,1220.04,1447.16,752.44,5033222925,-0.1419,2.0411,-37.58
2009,252,948.05,1127.78,676.53,5573207540,0.1186,1.5764,19.67
2010,252,1139.97,1259.78,1022.58,4569371389,0.0554,0.9768,11
2011,252,1267.64,1363.61,1099.23,4109055833,0.0116,1.2333,-1.12
2012,250,1379.35,1465.77,1277.06,3631677120,0.0533,0.8135,11.68
2013,252,1643.8,1848.36,1457.15,3358966627,0.0949,0.6652,26.39
2014,252,1931.38,2090.57,1741.89,3354782659,0.0338,0.6284,12.39
2015,252,2061.07,2130.82,1867.61,3655629365,-0.006,0.87,-0.69
2016,252,2094.65,2271.72,1829.08,3904086032,0.0286,0.7048,11.24
2017,251,2449.08,2690.16,2257.83,3420174582,0.0338,0.3319,18.42
2018,251,2746.21,2930.75,2351.1,3634742988,-0.0589,0.7917,-7.01
2019,252,2913.36,3240.02,2447.89,3558549643,0.0644,0.6457,28.71
2020,253,3217.86,3756.07,2237.4,4922448419,0.0098,1.1966,15.29
2021,252,4273.39,4793.06,3700.65,4417139921,0.0542,0.6539,28.79
2022,251,4098.51,4796.56,3577.03,4617723068,-0.0407,1.2626,-19.95
2023,250,4283.73,4783.35,3808.1,3998772120,0.0712,0.7322,24.73
2024,252,5428.24,6090.27,4688.68,3921145476,0.0103,0.5799,24.01
2025,250,6216.87,6932.05,4982.77,5123939360,0.0334,0.8857,16.65
2026,37,6912.89,6978.6,6796.86,5664512162,0.0156,0.5662,1.28
