"Year","Month","Month_N","Quarter","Trading_Days","Avg_Close","Max_Close","Min_Close","Avg_Volume","Avg_Daily_Return","MoM_Return_Pct"
1987,"August",8,"Q3",21,329.36,336.77,316.23,193447619,0.1434,3.85
1987,"September",9,"Q3",21,318.66,323.4,310.54,177295238,-0.1098,-0.49
1987,"October",10,"Q4",22,280.16,328.08,224.84,277022727,-0.9422,-23.08
1987,"November",11,"Q4",20,245.01,255.75,230.3,179476500,-0.428,-9.95
1987,"December",12,"Q4",22,240.96,253.16,223.92,178488636,0.3326,6.5
1988,"January",1,"Q1",20,250.48,261.07,242.63,174735000,0.2197,0.44
1988,"February",2,"Q1",20,258.13,267.82,249.1,184662000,0.2181,5.01
1988,"March",3,"Q1",23,265.74,271.22,258.06,176216087,-0.1422,-3.12
1988,"April",4,"Q2",20,262.62,271.58,256.09,163038000,0.0621,2.05
1988,"May",5,"Q2",21,256.12,263,250.83,153874762,0.0193,0.23
1988,"June",6,"Q2",22,270.68,275.66,265.17,195759545,0.1929,2.55
1988,"July",7,"Q3",20,269.05,275.81,262.5,166923500,-0.0213,0.09
1988,"August",8,"Q3",23,263.73,272.98,256.98,144672609,-0.1627,-3.93
1988,"September",9,"Q3",21,267.97,272.59,258.35,145688095,0.1882,5.25
1988,"October",10,"Q4",21,277.4,283.66,270.62,162626667,0.1285,2.8
1988,"November",11,"Q4",21,271.02,279.2,263.82,134420000,-0.0973,-1.92
1988,"December",12,"Q4",21,276.51,279.4,271.81,135471429,0.017,1.92
1989,"January",1,"Q1",21,285.41,297.47,275.31,168200952,0.3096,8.05
1989,"February",2,"Q1",19,294.01,299.63,287.13,169277895,-0.1513,-2.77
1989,"March",3,"Q1",22,292.71,299.44,287.11,159296818,0.0964,2.7
1989,"April",4,"Q2",20,302.25,309.64,295.29,161862500,0.2464,4.47
1989,"May",5,"Q2",22,313.93,321.98,305.19,170332727,0.1593,3.69
1989,"June",6,"Q2",22,323.73,328.44,317.98,180299545,-0.0309,-1.24
1989,"July",7,"Q3",20,331.93,346.08,319.23,162451500,0.4274,8.41
1989,"August",8,"Q3",23,346.61,352.09,340.67,171700000,0.0706,2.24
1989,"September",9,"Q3",20,347.33,353.73,343.16,151751000,-0.0315,-1.29
1989,"October",10,"Q4",22,347.4,359.8,333.65,182394091,-0.1007,-3
1989,"November",11,"Q4",21,340.22,345.99,332.61,144388571,0.0801,1.4
1989,"December",12,"Q4",20,348.57,353.4,342.46,160671000,0.107,0.79
1990,"January",1,"Q1",22,339.97,359.69,322.98,172420455,-0.3182,-8.51
1990,"February",2,"Q1",19,330.45,334.89,324.15,155893158,0.0474,0.94
1990,"March",3,"Q1",22,338.47,343.53,332.74,149240000,0.1133,2.16
1990,"April",4,"Q2",20,338.18,344.74,329.11,140061000,-0.1338,-2.33
1990,"May",5,"Q2",22,350.25,361.23,332.25,163485455,0.4029,8.72
1990,"June",6,"Q2",21,360.39,367.4,352.06,153632381,-0.053,-1.42
1990,"July",7,"Q3",21,360.03,368.95,353.44,160644762,-0.022,-0.94
1990,"August",8,"Q3",23,330.75,355.52,307.06,174814348,-0.4159,-9.27
1990,"September",9,"Q3",19,315.41,324.39,300.97,141435789,-0.2868,-5.27
1990,"October",10,"Q4",23,307.12,315.21,295.46,159647826,-0.0199,-3.47
1990,"November",11,"Q4",21,315.29,322.22,306.01,149989048,0.283,4.95
1990,"December",12,"Q4",20,328.75,331.75,324.1,155841500,0.125,1.89
1991,"January",1,"Q1",22,325.49,343.93,311.49,166374545,0.1924,5.35
1991,"February",2,"Q1",19,362.26,369.39,343.05,226482632,0.3495,7
1991,"March",3,"Q1",20,372.28,376.72,366.58,196396000,0.1132,1.28
1991,"April",4,"Q2",22,379.68,390.45,371.3,182600000,0.0046,1.09
1991,"May",5,"Q2",22,377.99,389.83,368.57,169986364,0.1913,2.51
1991,"June",6,"Q2",20,378.29,388.06,370.65,162936500,-0.242,-4.35
1991,"July",7,"Q3",22,380.23,387.81,373.33,158253182,0.2017,2.62
1991,"August",8,"Q3",22,389.4,396.64,376.47,168810000,0.0916,2.15
1991,"September",9,"Q3",20,387.2,392.15,383.59,163049500,-0.093,-1.09
1991,"October",10,"Q4",23,386.88,392.96,376.8,177494783,0.0556,0.84
1991,"November",11,"Q4",20,385.92,397.41,375.22,186881000,-0.219,-4.11
1991,"December",12,"Q4",21,388.51,417.09,377.39,197871905,0.5098,9.36
1992,"January",1,"Q1",22,416.07,420.77,408.78,240285455,-0.0875,-2.03
1992,"February",2,"Q1",19,412.56,417.13,407.38,224611053,0.0502,0.77
1992,"March",3,"Q1",22,407.36,412.85,403,184829091,-0.0995,-2.12
1992,"April",4,"Q2",21,407.41,416.28,394.5,205516190,0.1368,2.65
1992,"May",5,"Q2",20,414.81,418.49,410.09,182199000,0.0053,0.68
1992,"June",6,"Q2",22,408.27,417.3,400.96,193628636,-0.0788,-2.2
1992,"July",7,"Q3",22,415.05,424.21,409.16,193873636,0.1784,2.74
1992,"August",8,"Q3",21,417.93,425.09,410.72,173991429,-0.115,-2.6
1992,"September",9,"Q3",21,418.48,425.27,414.35,191611905,0.0462,0.42
1992,"October",10,"Q4",22,412.5,420.86,402.66,204864091,0.0108,0.57
1992,"November",11,"Q4",20,422.84,431.35,417.11,207438500,0.1505,2.03
1992,"December",12,"Q4",22,435.64,441.28,429.89,221643182,0.0457,1.14
